id;name_uz_lat;name_uz_kr;name_ru;name_en;icon
1;Table;open-source;Integration;Refined metrics e-commerce;Chief
2;XML Chips Kentucky;Steel transmitting Nevada;harness Georgia Hat;Program mesh;Designer array
3;Verde;Loan Music;Bedfordshire Investor;Front-line plug-and-play Versatile;Rustic Handcrafted JSON
4;Loan connecting systems;networks;Avon XML;invoice Sleek azure;feed Kids
5;Fresh;National;blue Chief;Nebraska;Tasty Shirt Central
6;Egypt XML;Armenian;Cambridgeshire;circuit;6th
7;UIC-Franc;Pennsylvania Unbranded;e-services;Granite frame Borders;hacking
8;methodologies Human protocol;Tasty;Intranet mint Supervisor;Account quantify Metal;Electronics Handmade application
9;back-end Applications Dynamic;Berkshire hack interface;Practical;ROI circuit Licensed;Sterling Loan Security
10;Gorgeous;Ariary;Compatible Fish Virginia;magenta;Designer Knoll
