id;name_uz_lat;name_uz_kr;name_ru;name_en;longitude;latitude
1;Executive Buckinghamshire plum;Extended utilize Fresh;lime;XSS matrix copying;95636;4956
2;bandwidth frictionless Soft;GB;Versatile;Wooden;72061;57005
3;Buckinghamshire;maroon indigo;Small Investor;Account Solutions International;34626;64981
4;innovative Business-focused;District Advanced;scale Norwegian;Steel;53990;51402
5;JBOD;Total;mindshare Gorgeous;Greens alarm Buckinghamshire;84439;98006
6;Bedfordshire bleeding-edge;Future SAS methodologies;bandwidth ability India;Gorgeous;7503;10023
7;Garden;Table;gold;Kansas;70509;65075
8;navigate Plastic;systems Intelligent firewall;JBOD Avon Industrial;olive solution;18533;43523
9;green online;solid Zambian generate;Frozen;high-level;58134;65964
10;connecting;Loti calculate;Malta;Loan salmon Mobility;68905;61281
