id;name_uz_lat;name_uz_kr;name_ru;name_en;longitude;latitude
1;International Practical;Jordanian;Tasty schemas;De-engineered;24140;7435
2;bypass methodical;override TCP;PNG Hat Intranet;state;86607;86243
3;Jewelery;Account bypassing;Investment;Implementation models;46549;63199
4;gold;Cotton Licensed;indexing invoice Delaware;engage;20671;29406
5;Mouse Loan Baby;PNG;United;Sleek Mauritius Borders;84554;3796
6;Wooden;eco-centric Borders;Data;Garden magenta Ferry;21521;29493
7;Operations green mobile;global;Hat matrix;functionalities Australian black;13113;63885
8;Pants;payment;Automotive Pitcairn;Refined;49070;35816
9;Accounts Intranet Avon;Exclusive;Berkshire;Future Oregon;95259;15111
10;Applications target;functionalities;Alabama transitional;Cotton hacking;26957;12841
