id;name_uz_lat;name_uz_kr;name_ru;name_en
1;Tuna;compress primary cross-platform;bluetooth Berkshire;program Cotton Electronics
2;Idaho value-added;Soft empower;invoice Keyboard;feed
3;solid Research;PCI;input Checking olive;cross-platform Checking zero
4;Chicken Account;cross-platform copying;paradigms Germany;Turkish haptic
5;Djibouti payment;Kip Representative Kids;state Concrete;Washington Brazilian
6;deposit;morph;Guilder platforms holistic;zero Creative
7;Dale Functionality;Cotton;capacitor;implement Towels Albania
8;Soft object-oriented;SCSI;Home;Technician
9;Wooden;Operations;green applications Implemented;PCI
10;frictionless Unbranded deposit;red Cloned;services Hat Facilitator;quantify Virginia
